Employee Number,Employee Name,State,DOB,Sex,Department,Position
1102024149,"Spirea, Kelley",CA,30/09/1975,Female,Admin Offices,Administrative II
1001109612,"Darson, Jene'ya ",CA,11/05/1978,Female,Admin Offices,Administrative II
1000974650,"Stanley, David ",TX,17/12/1970,Male,Admin Offices,Manager
1206043417,"Quinn, Sean",MA,11/06/1964,Male,Admin Offices,Manager
1307060188,"Boutwell, Bonalyn",CA,4/04/1967,Female,Admin Offices,Manager
1011022932,"Hendrickson, Trina",CA,27/08/1972,Female,Admin Offices,Administrative II
1101023619,"Wallace, Theresa",CA,8/02/1980,Female,Admin Offices,Administrative II
1107027575,"LeBel, Jonathan  R",CA,18/10/1981,Male,Admin Offices,Administrative II
1102024115,"LeBlanc, Brandon  R",MA,6/10/1964,Male,Admin Offices,Manager
1105026041,"Gaul, Barbara",CA,12/02/1963,Female,Admin Offices,Administrative II
1102024121,"Motlagh,  Dawn",CA,7/07/1984,Female,Admin Offices,Administrative II
1302053333,"Steans, Tyrone  ",CA,9/01/1966,Male,Admin Offices,Administrative II
1302053362,"Sander, Kamrin",CA,7/10/1988,Female,Admin Offices,Administrative I
1405067565,"Linden, Mathew",CA,19/03/1979,Male,Admin Offices,Administrative I
1106026579,"Gordon, David",TX,21/05/1979,Male,Admin Offices,Administrative II
1107027450,"Jung, Judy  ",CA,17/04/1986,Female,Admin Offices,Administrative I
1408069481,"Dietrich, Jenna  ",CA,14/05/1987,Female,Admin Offices,Administrative I
1011022818,"Walker, Roger",CA,2/10/1976,Male,Admin Offices,Administrative I
1201031308,"Foster-Baker, Amy",TX,16/04/1969,Female,Admin Offices,Manager
1001944783,"Hogland, Jonathan ",MA,7/01/1972,Male,Admin Offices,Administrative II
1405067298,"Sullivan, Kissy ",MA,28/03/1978,Female,Admin Offices,Administrative II
1103024456,"Brown, Mia",MA,24/11/1985,Female,Admin Offices,Administrative II
1307059817,"Singh, Nan ",MA,19/05/1988,Female,Admin Offices,Administrative I
1111030684,"Nguyen, Dheepa",MA,31/03/1989,Female,Admin Offices,Administrative I
1409070147,"Dunn, Amy  ",TX,28/11/1973,Female,Admin Offices,Manager
1499902991,"Robertson, Peter",MA,7/03/1972,Male,Admin Offices,Administrative I
812011761,"Ozark, Travis",MA,19/05/1982,Male,Admin Offices,Administrative I
1101023457,"Buccheri, Joseph  ",MA,28/07/1963,Male,Admin Offices,Administrative I
711007713,"Smith, Leigh Ann",MA,14/06/1967,Female,Admin Offices,Administrative I
1304055947,"Anderson, Linda  ",TX,22/05/1977,Female,Admin Offices,Administrative II
1106026572,"LaRotonda, William  ",TX,26/04/1964,Male,Admin Offices,Administrative II
1209049326,"McKinzie, Jac",TX,7/01/1964,Male,Admin Offices,Administrative I
1412071660,"Leruth, Giovanni",TX,27/12/1988,Male,Admin Offices,Administrative I
1312063714,"Valentin,Jackie",TX,23/05/1991,Female,Admin Offices,Administrative I
1211050782,"Howard, Estelle",TX,16/09/1965,Female,Admin Offices,Administrative I
1001495124,"King, Janet",MA,21/09/1954,Female,Executive Office,Director
1112030816,"Zamora, Jennifer",CA,30/08/1949,Female,Executive Office,Director
1403065721,"Carter, Michelle ",CA,15/05/1963,Female,Executive Office,Director
1209048771,"Martins, Joseph",TX,6/11/1950,Male,Executive Office,Director
1009021646,"Houlihan, Debra",TX,17/03/1956,Female,Executive Office,Director
1499902910,"Smith, John",MA,16/08/1964,Male,Executive Office,Director
1306059197,"Digitale, Alfred",CA,14/09/1968,Male,Executive Office,Director
1192991000,"Foss, Jason",CA,7/05/1950,Male,Information Technlogy,Director
1101023754,"Dougall, Eric",CA,7/09/1960,Male,Information Technlogy,Manager
1106026933,"Roup,Simon",MA,4/05/1963,Male,Information Technlogy,Manager
1001175250,"Ruiz, Ricardo",CA,1/04/1964,Male,Information Technlogy,Manager
1307060199,"Ait Sidi, Karthikeyan   ",MA,5/05/1975,Male,Information Technlogy,Engineer II
1010022337,"Carr, Claudia  N",MA,6/06/1986,Female,Information Technlogy,Engineer II
1111030266,"Roehrich, Bianca",MA,27/05/1973,Female,Information Technlogy,Engineer II
1412071562,"Favis, Donald  ",CA,30/07/1964,Male,Information Technlogy,Engineer II
1011022863,"Monroe, Peter",TX,10/05/1956,Male,Information Technlogy,Manager
1108028108,"Lajiri,  Jyoti",TX,23/04/1986,Male,Information Technlogy,Engineer II
1301052347,"Warfield, Sarah",TX,5/02/1978,Female,Information Technlogy,Engineer II
1411071312,"Daniele, Ann  ",TX,18/01/1952,Female,Information Technlogy,Engineer II
904013591,"Semizoglou, Jeremiah  ",TX,2/09/1983,Male,Information Technlogy,Engineer II
1308060959,"South, Joe",TX,9/09/1965,Male,Information Technlogy,Engineer II
905013738,"Goble, Taisha",MA,23/10/1971,Female,Information Technlogy,Engineer I
1411071506,"Turpin, Jumil",TX,31/03/1969,Male,Information Technlogy,Engineer I
1111030148,"Salter, Jason",MA,17/12/1987,Male,Information Technlogy,Engineer I
1102024056,"Becker, Renee",MA,4/04/1986,Female,Information Technlogy,Engineer I
906014183,"Shepard, Anita ",TX,14/04/1981,Female,Information Technlogy,Engineer I
